edge_id,source_node_id,target_node_id,asset_id,asset_key,asset_type,subtype,start_date,end_date,is_active_at_end,player_name,contract_expiry_year,average_annual_salary,acquisition_method,original_team,pick_year,pick_number,protections_raw,protections_structured,swap_conditions_raw,swap_conditions_structured,prior_transactions
edg_ast_mem_pick_2025_2_nop_1e3c6a954b_state_start_m_f9c783d22c,state_start_mem_20220514,state_end_mem_20260226,ast_mem_pick_2025_2_nop_1e3c6a954b,pick_2025_2_nop,future_draft_pick,second_round,2022-05-14,,true,,,,owned_pick_start_state,NOP,2025,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2025_2_nop_in_00b86b7531_state_star_84c218c81e,state_start_mem_20220514,evt_mem_evt_20230711_trade_swap_phx_2023_07_11_trade_2983cec30d,ast_mem_pick_2025_2_nop_in_00b86b7531,pick_2025_2_nop_in,future_draft_pick,second_round,2022-05-14,2023-07-11,false,,,,,NOP,2025,,,,,,"[""2022-05-14|bootstrap_from_event|held""]"
edg_ast_mem_pick_2025_2_was_in_8636c672eb_evt_mem_ev_b19a183ae4,evt_mem_evt_20250206_trade_deadline_2025_02_06_trade_fe97bce1ad,state_end_mem_20260226,ast_mem_pick_2025_2_was_in_8636c672eb,pick_2025_2_was_in,future_draft_pick,second_round,2025-02-06,,true,,,,trade,WAS,2025,,,,,,"[""2025-02-06|trade|acquire""]"
edg_ast_mem_pick_2026_1_mem_5efd214042_state_start_m_579ed3b5d0,state_start_mem_20220514,state_end_mem_20260226,ast_mem_pick_2026_1_mem_5efd214042,pick_2026_1_mem,future_draft_pick,first_round,2022-05-14,,true,,,,owned_pick_start_state,MEM,2026,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2026_1_swap_rights_mem_orl_72c2863d_fcf4f7d6e4,state_start_mem_20220514,evt_mem_evt_20250615_trade_bane_2025_06_15_trade_de9587a20e,ast_mem_pick_2026_1_swap_rights_mem_orl_72c2863d01,pick_2026_1_swap_rights_mem_orl,future_draft_pick,first_round,2022-05-14,2025-06-15,false,,,,,MEM/ORL,2026,,,,2026 first-round swap rights conveyed to ORL,,"[""2022-05-14|bootstrap_from_event|held""]"
edg_ast_mem_pick_2026_2_mem_a0eff31010_state_start_m_4d0382c09a,state_start_mem_20220514,state_end_mem_20260226,ast_mem_pick_2026_2_mem_a0eff31010,pick_2026_2_mem,future_draft_pick,second_round,2022-05-14,,true,,,,owned_pick_start_state,MEM,2026,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2026_2_swap_rights_lac_19177cafc6_e_26f4ed6d06,evt_mem_evt_20230209_trade_kennard_2023_02_09_trade_bc5e54ca9a,state_end_mem_20260226,ast_mem_pick_2026_2_swap_rights_lac_19177cafc6,pick_2026_2_swap_rights_lac,future_draft_pick,second_round,2023-02-09,,true,,,,trade,LAC,2026,,,,Second-round swap right acquired in Kennard trade,,"[""2023-02-09|trade|acquire""]"
edg_ast_mem_pick_2027_1_lal_conditional_in_281f2f39f_8bf2787a67,evt_mem_evt_20260203_trade_jjj_2026_02_03_trade_db62e31a6e,state_end_mem_20260226,ast_mem_pick_2027_1_lal_conditional_in_281f2f39fe,pick_2027_1_lal_conditional_in,future_draft_pick,first_round,2026-02-03,,true,,,,trade,LAL,2027,,Conditional LAL 2027 first-round pick,,,,"[""2026-02-03|trade|acquire""]"
edg_ast_mem_pick_2027_1_mem_bf18d7d771_state_start_m_4634a34268,state_start_mem_20220514,state_end_mem_20260226,ast_mem_pick_2027_1_mem_bf18d7d771,pick_2027_1_mem,future_draft_pick,first_round,2022-05-14,,true,,,,owned_pick_start_state,MEM,2027,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2027_1_more_favorable_phx_phi_4edfe_7c15648862,evt_mem_evt_20260203_trade_jjj_2026_02_03_trade_db62e31a6e,state_end_mem_20260226,ast_mem_pick_2027_1_more_favorable_phx_phi_4edfecb031,pick_2027_1_more_favorable_phx_phi,future_draft_pick,first_round,2026-02-03,,true,,,,trade,PHX/PHI,2027,,More favorable of PHX and PHI 2027 first,,,,"[""2026-02-03|trade|acquire""]"
edg_ast_mem_pick_2027_2_atl_in_4d674f63b9_evt_mem_ev_9f69f8cdbb,evt_mem_evt_20240207_trade_tillman_2024_02_07_trade_939df12fd4,evt_mem_evt_20250625_trade_up_cedric_2025_06_25_trad_8d1c8e0f53,ast_mem_pick_2027_2_atl_in_4d674f63b9,pick_2027_2_atl_in,future_draft_pick,second_round,2024-02-07,2025-06-25,false,,,,trade,ATL,2027,,,,,,"[""2024-02-07|trade|acquire""]"
edg_ast_mem_pick_2027_2_mem_7ab926c180_state_start_m_674590e8e4,state_start_mem_20220514,evt_mem_evt_20230209_trade_kennard_2023_02_09_trade_bc5e54ca9a,ast_mem_pick_2027_2_mem_7ab926c180,pick_2027_2_mem,future_draft_pick,second_round,2022-05-14,2023-02-09,false,,,,owned_pick_start_state,MEM,2027,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2028_1_mem_9efe5f9598_state_start_m_58df3abeef,state_start_mem_20220514,state_end_mem_20260226,ast_mem_pick_2028_1_mem_9efe5f9598,pick_2028_1_mem,future_draft_pick,first_round,2022-05-14,,true,,,,owned_pick_start_state,MEM,2028,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2028_1_orl_in_f734e74c62_evt_mem_ev_029f5798bd,evt_mem_evt_20250615_trade_bane_2025_06_15_trade_de9587a20e,evt_mem_evt_20250625_trade_up_cedric_2025_06_25_trad_8d1c8e0f53,ast_mem_pick_2028_1_orl_in_f734e74c62,pick_2028_1_orl_in,future_draft_pick,first_round,2025-06-15,2025-06-25,false,,,,trade,ORL,2028,,,,,,"[""2025-06-15|trade|acquire""]"
edg_ast_mem_pick_2028_2_mem_d7e4aed745_state_start_m_b7e3a54b74,state_start_mem_20220514,state_end_mem_20260226,ast_mem_pick_2028_2_mem_d7e4aed745,pick_2028_2_mem,future_draft_pick,second_round,2022-05-14,,true,,,,owned_pick_start_state,MEM,2028,,,,,,"[""2022-05-14|initial_state|held"", ""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2028_2_mem_in_ebd389e5a6_state_star_da3b738b91,state_start_mem_20220514,evt_mem_evt_20230711_trade_swap_phx_2023_07_11_trade_2983cec30d,ast_mem_pick_2028_2_mem_in_ebd389e5a6,pick_2028_2_mem_in,future_draft_pick,second_round,2022-05-14,2023-07-11,false,,,,,MEM,2028,,,,,,"[""2022-05-14|bootstrap_from_event|held""]"
edg_ast_mem_pick_2028_2_sac_in_a903c2550d_evt_mem_ev_7ad78651cd,evt_mem_evt_20250206_trade_deadline_2025_02_06_trade_fe97bce1ad,evt_mem_evt_20250625_trade_up_cedric_2025_06_25_trad_8d1c8e0f53,ast_mem_pick_2028_2_sac_in_a903c2550d,pick_2028_2_sac_in,future_draft_pick,second_round,2025-02-06,2025-06-25,false,,,,trade,SAC,2028,,,,,,"[""2025-02-06|trade|acquire""]"
edg_ast_mem_pick_2029_1_mem_49f0e59d83_state_start_m_6bbdbcac50,state_start_mem_20220514,state_end_mem_20260226,ast_mem_pick_2029_1_mem_49f0e59d83,pick_2029_1_mem,future_draft_pick,first_round,2022-05-14,,true,,,,owned_pick_start_state,MEM,2029,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2029_1_swap_orl_in_2efc2086f1_evt_m_982a77c7b9,evt_mem_evt_20250615_trade_bane_2025_06_15_trade_de9587a20e,state_end_mem_20260226,ast_mem_pick_2029_1_swap_orl_in_2efc2086f1,pick_2029_1_swap_orl_in,future_draft_pick,first_round,2025-06-15,,true,,,,trade,ORL/MEM,2029,,,,2029 first-round swap right,,"[""2025-06-15|trade|acquire""]"
edg_ast_mem_pick_2029_2_mem_961a334525_state_start_m_81e852fbe1,state_start_mem_20220514,state_end_mem_20260226,ast_mem_pick_2029_2_mem_961a334525,pick_2029_2_mem,future_draft_pick,second_round,2022-05-14,,true,,,,owned_pick_start_state,MEM,2029,,,,,,"[""2022-05-14|initial_state|held"", ""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2029_2_mem_in_b18fbd9758_state_star_a82e8fa46c,state_start_mem_20220514,evt_mem_evt_20230711_trade_swap_phx_2023_07_11_trade_2983cec30d,ast_mem_pick_2029_2_mem_in_b18fbd9758,pick_2029_2_mem_in,future_draft_pick,second_round,2022-05-14,2023-07-11,false,,,,,MEM,2029,,,,,,"[""2022-05-14|bootstrap_from_event|held""]"
edg_ast_mem_pick_2029_2_por_in_f2e80a9a21_evt_mem_ev_e47ec0bbbc,evt_mem_evt_20250706_trade_huff_2025_07_06_trade_f28376657d,state_end_mem_20260226,ast_mem_pick_2029_2_por_in_f2e80a9a21,pick_2029_2_por_in,future_draft_pick,second_round,2025-07-06,,true,,,,trade,POR,2029,,,,,,"[""2025-07-06|trade|acquire""]"
edg_ast_mem_pick_2030_1_mem_3c63b96658_state_start_m_2283a93b4a,state_start_mem_20220514,state_end_mem_20260226,ast_mem_pick_2030_1_mem_3c63b96658,pick_2030_1_mem,future_draft_pick,first_round,2022-05-14,,true,,,,owned_pick_start_state,MEM,2030,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2030_1_orl_in_f3343b70fd_evt_mem_ev_64968a4ba4,evt_mem_evt_20250615_trade_bane_2025_06_15_trade_de9587a20e,state_end_mem_20260226,ast_mem_pick_2030_1_orl_in_f3343b70fd,pick_2030_1_orl_in,future_draft_pick,first_round,2025-06-15,,true,,,,trade,ORL,2030,,,,,,"[""2025-06-15|trade|acquire""]"
