event_id,event_key,asset_id,asset_key,action,direction
evt_mem_evt_20240724_sign_huff_two_way_2024_07_24_co_986fb34906,evt_20240724_sign_huff_two_way,ast_mem_player_james_huff_eabb3709ce,player_james_huff,acquire,outgoing
evt_mem_evt_20240731_re_sign_kennard_2024_07_31_re_s_b55ac63e3e,evt_20240731_re_sign_kennard,ast_mem_player_luke_kennard_f14f5d273c,player_luke_kennard,modify,outgoing
evt_mem_evt_20240827_waive_diakite_2024_08_27_waiver_a4feecc3bb,evt_20240827_waive_diakite,ast_mem_player_mamadi_diakite_2ec14923f8,player_mamadi_diakite,terminate,incoming
evt_mem_evt_20240906_sign_yuki_2024_09_06_contract_s_ce20f72604,evt_20240906_sign_yuki,ast_mem_player_yuki_kawamura_ccc927820b,player_yuki_kawamura,acquire,outgoing
evt_mem_evt_20240923_waive_rose_2024_09_23_waiver_0815a5ab85,evt_20240923_waive_rose,ast_mem_player_derrick_rose_1d9e62cc5a,player_derrick_rose,terminate,incoming
evt_mem_evt_20241015_conv_scotty_2024_10_15_conversi_cdf0356efc,evt_20241015_conv_scotty,ast_mem_player_scotty_pippen_jr_6dee5c5db8,player_scotty_pippen_jr,modify,outgoing
evt_mem_evt_20241019_conv_yuki_two_way_2024_10_19_co_9f01a9617b,evt_20241019_conv_yuki_two_way,ast_mem_player_yuki_kawamura_ccc927820b,player_yuki_kawamura,modify,outgoing
evt_mem_evt_20241028_conv_huff_2024_10_28_conversion_5e6e9c63fd,evt_20241028_conv_huff,ast_mem_player_james_huff_eabb3709ce,player_james_huff,modify,outgoing
evt_mem_evt_20241030_sign_castleton_two_way_2024_10__f294583cc6,evt_20241030_sign_castleton_two_way,ast_mem_player_colin_castleton_aa95520d04,player_colin_castleton,acquire,outgoing
evt_mem_evt_20250110_end_castleton_two_way_2025_01_1_37b78efdf3,evt_20250110_end_castleton_two_way,ast_mem_player_colin_castleton_aa95520d04,player_colin_castleton,terminate,incoming
evt_mem_evt_20250110_sign_zyon_two_way_2025_01_10_co_a1e58ac2b2,evt_20250110_sign_zyon_two_way,ast_mem_player_zyon_pullin_6a3c571ae9,player_zyon_pullin,acquire,outgoing
evt_mem_evt_20250206_trade_deadline_2025_02_06_trade_fe97bce1ad,evt_20250206_trade_deadline,ast_mem_pick_2025_1_mem_315ae36b9d,pick_2025_1_mem,relinquish,incoming
evt_mem_evt_20250206_trade_deadline_2025_02_06_trade_fe97bce1ad,evt_20250206_trade_deadline,ast_mem_pick_2025_2_was_in_8636c672eb,pick_2025_2_was_in,acquire,outgoing
evt_mem_evt_20250206_trade_deadline_2025_02_06_trade_fe97bce1ad,evt_20250206_trade_deadline,ast_mem_pick_2028_2_sac_in_a903c2550d,pick_2028_2_sac_in,acquire,outgoing
evt_mem_evt_20250206_trade_deadline_2025_02_06_trade_fe97bce1ad,evt_20250206_trade_deadline,ast_mem_player_jake_laravia_7bb7c89164,player_jake_laravia,relinquish,incoming
evt_mem_evt_20250206_trade_deadline_2025_02_06_trade_fe97bce1ad,evt_20250206_trade_deadline,ast_mem_player_johnny_davis_70aeb778a5,player_johnny_davis,acquire,outgoing
evt_mem_evt_20250206_trade_deadline_2025_02_06_trade_fe97bce1ad,evt_20250206_trade_deadline,ast_mem_player_marcus_smart_4cd4f4a40d,player_marcus_smart,relinquish,incoming
evt_mem_evt_20250206_trade_deadline_2025_02_06_trade_fe97bce1ad,evt_20250206_trade_deadline,ast_mem_player_marvin_bagley_iii_ddc0b6a3bc,player_marvin_bagley_iii,acquire,outgoing
evt_mem_evt_20250221_sign_lamar_2025_02_21_contract__a0de33fef7,evt_20250221_sign_lamar,ast_mem_player_lamar_stevens_f88b3642ae,player_lamar_stevens,acquire,outgoing
evt_mem_evt_20250221_waive_johnny_2025_02_21_waiver_72aa571ceb,evt_20250221_waive_johnny,ast_mem_player_johnny_davis_70aeb778a5,player_johnny_davis,terminate,incoming
evt_mem_evt_20250303_sign_lamar_again_2025_03_03_con_b3fb0bd5e8,evt_20250303_sign_lamar_again,ast_mem_player_lamar_stevens_f88b3642ae,player_lamar_stevens,modify,outgoing
evt_mem_evt_20250313_sign_lamar_rest_2025_03_13_cont_0f43f59e62,evt_20250313_sign_lamar_rest,ast_mem_player_lamar_stevens_f88b3642ae,player_lamar_stevens,modify,outgoing
evt_mem_evt_20250615_trade_bane_2025_06_15_trade_de9587a20e,evt_20250615_trade_bane,ast_mem_pick_2025_1_orl_in_6a6812e837,pick_2025_1_orl_in,acquire,outgoing
evt_mem_evt_20250615_trade_bane_2025_06_15_trade_de9587a20e,evt_20250615_trade_bane,ast_mem_pick_2026_1_swap_rights_mem_orl_72c2863d01,pick_2026_1_swap_rights_mem_orl,relinquish,incoming
evt_mem_evt_20250615_trade_bane_2025_06_15_trade_de9587a20e,evt_20250615_trade_bane,ast_mem_pick_2028_1_orl_in_f734e74c62,pick_2028_1_orl_in,acquire,outgoing
evt_mem_evt_20250615_trade_bane_2025_06_15_trade_de9587a20e,evt_20250615_trade_bane,ast_mem_pick_2029_1_swap_orl_in_2efc2086f1,pick_2029_1_swap_orl_in,acquire,outgoing
evt_mem_evt_20250615_trade_bane_2025_06_15_trade_de9587a20e,evt_20250615_trade_bane,ast_mem_pick_2030_1_orl_in_f3343b70fd,pick_2030_1_orl_in,acquire,outgoing
evt_mem_evt_20250615_trade_bane_2025_06_15_trade_de9587a20e,evt_20250615_trade_bane,ast_mem_player_cole_anthony_20e747f459,player_cole_anthony,acquire,outgoing
evt_mem_evt_20250615_trade_bane_2025_06_15_trade_de9587a20e,evt_20250615_trade_bane,ast_mem_player_desmond_bane_7ab119c9e6,player_desmond_bane,relinquish,incoming
evt_mem_evt_20250615_trade_bane_2025_06_15_trade_de9587a20e,evt_20250615_trade_bane,ast_mem_player_kentavious_caldwell_pope_314405064e,player_kentavious_caldwell_pope,acquire,outgoing
evt_mem_evt_20250625_trade_up_cedric_2025_06_25_trad_8d1c8e0f53,evt_20250625_trade_up_cedric,ast_mem_pick_2027_2_atl_in_4d674f63b9,pick_2027_2_atl_in,relinquish,incoming
evt_mem_evt_20250625_trade_up_cedric_2025_06_25_trad_8d1c8e0f53,evt_20250625_trade_up_cedric,ast_mem_pick_2028_1_orl_in_f734e74c62,pick_2028_1_orl_in,relinquish,incoming
evt_mem_evt_20250625_trade_up_cedric_2025_06_25_trad_8d1c8e0f53,evt_20250625_trade_up_cedric,ast_mem_pick_2028_2_sac_in_a903c2550d,pick_2028_2_sac_in,relinquish,incoming
evt_mem_evt_20250625_trade_up_cedric_2025_06_25_trad_8d1c8e0f53,evt_20250625_trade_up_cedric,ast_mem_player_cedric_coward_331614329d,player_cedric_coward,acquire,outgoing
evt_mem_evt_20250625_trade_up_cedric_2025_06_25_trad_8d1c8e0f53,evt_20250625_trade_up_cedric,ast_mem_player_yang_hansen_98f5eafe83,player_yang_hansen,relinquish,incoming
