asset_id,asset_key,asset_type,subtype,team_code,team_name
ast_mem_player_ty_jerome_3b3fe31166,player_ty_jerome,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_tyrell_terry_5775e97e56,player_tyrell_terry,two_way,player_contract,MEM,Memphis Grizzlies
ast_mem_player_tyus_jones_d162fd9352,player_tyus_jones,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_ulrich_chomche_d3e56efbd5,player_ulrich_chomche,full_roster,draft_rights,MEM,Memphis Grizzlies
ast_mem_player_vanja_marinkovic_ed09cb732a,player_vanja_marinkovic,full_roster,draft_rights,MEM,Memphis Grizzlies
ast_mem_player_victor_oladipo_558a3a1190,player_victor_oladipo,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_vince_williams_jr_904db7a1ac,player_vince_williams_jr,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_walter_clayton_jr_ee10508d71,player_walter_clayton_jr,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_wenyen_gabriel_f105ab2923,player_wenyen_gabriel,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_will_richard_39ba93f6b3,player_will_richard,full_roster,draft_rights,MEM,Memphis Grizzlies
ast_mem_player_xavier_tillman_062056db33,player_xavier_tillman,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_yang_hansen_98f5eafe83,player_yang_hansen,full_roster,draft_rights,MEM,Memphis Grizzlies
ast_mem_player_yuki_kawamura_ccc927820b,player_yuki_kawamura,two_way,two_way_contract,MEM,Memphis Grizzlies
ast_mem_player_yves_pons_cb5bec6f38,player_yves_pons,two_way,player_contract,MEM,Memphis Grizzlies
ast_mem_player_zach_edey_eb47a26f7c,player_zach_edey,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_zavier_simpson_8b1c92b9b7,player_zavier_simpson,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_ziaire_williams_e48711763e,player_ziaire_williams,full_roster,player_contract,MEM,Memphis Grizzlies
ast_mem_player_zyon_pullin_6a3c571ae9,player_zyon_pullin,two_way,two_way_contract,MEM,Memphis Grizzlies
