event_key,action,asset_key,asset_type,subtype,player_name,contract_expiry_year,average_annual_salary,acquisition_method,original_team,pick_year,pick_number,protections_raw,protections_structured,swap_conditions_raw,swap_conditions_structured,prior_transactions
evt_20240208_waive_oladipo,terminate,player_victor_oladipo,full_roster,player_contract,Victor Oladipo,,,waiver,,,,,,,,
evt_20240209_conv_gg,modify,player_gg_jackson,full_roster,player_contract,GG Jackson,,,conversion,,,,,,,,
evt_20240209_sign_jemison_two_way,modify,player_trey_jemison,full_roster,player_contract,Trey Jemison,,,contract_signing,,,,,,,,
evt_20240209_sign_trey_jemison_update,modify,player_trey_jemison,full_roster,player_contract,Trey Jemison,,,contract_signing,,,,,,,,
evt_20240224_sign_goodwin_two_way,acquire,player_jordan_goodwin,two_way,two_way_contract,Jordan Goodwin,,,two_way_signing,,,,,,,,
evt_20240224_sign_goodwin_two_way,terminate,player_jacob_gilyard,two_way,two_way_contract,Jacob Gilyard,,,end_two_way,,,,,,,,
evt_20240226_sign_matthew_hurt,modify,player_matthew_hurt,full_roster,player_contract,Matthew Hurt,,,contract_signing,,,,,,,,
evt_20240308_sign_wenyen_gabriel,acquire,player_wenyen_gabriel,full_roster,player_contract,Wenyen Gabriel,,,contract_signing,,,,,,,,
evt_20240310_sign_dejon_jarreau,acquire,player_dejon_jarreau,full_roster,player_contract,DeJon Jarreau,,,contract_signing,,,,,,,,
evt_20240320_sign_dejon_jarreau_again,modify,player_dejon_jarreau,full_roster,player_contract,DeJon Jarreau,,,contract_signing,,,,,,,,
evt_20240320_sign_maozinha,acquire,player_maozinha_pereira,full_roster,player_contract,Maozinha Pereira,,,contract_signing,,,,,,,,
evt_20240330_sign_zavier_simpson,acquire,player_zavier_simpson,full_roster,player_contract,Zavier Simpson,,,contract_signing,,,,,,,,
evt_20240409_sign_jack_white,acquire,player_jack_white,full_roster,player_contract,Jack White,,,contract_signing,,,,,,,,
evt_20240409_sign_zavier_simpson_again,modify,player_zavier_simpson,full_roster,player_contract,Zavier Simpson,,,contract_signing,,,,,,,,
evt_20240626_draft_edey,acquire,player_zach_edey,full_roster,draft_pick,Zach Edey,,,draft_pick,,,,,,,,
evt_20240626_draft_edey,relinquish,pick_2024_1_mem,future_draft_pick,first_round,,,,,MEM,2024,9,,,,,
evt_20240627_draft_chomche,acquire,player_ulrich_chomche,full_roster,draft_rights,Ulrich Chomche,,,draft_pick,,,,,,,,
evt_20240627_draft_chomche,relinquish,pick_2024_2_mem_rights_57,future_draft_pick,second_round,,,,,MEM,2024,57,,,,,
evt_20240627_draft_wells,acquire,player_jaylen_wells,full_roster,draft_pick,Jaylen Wells,,,draft_pick,,,,,,,,
evt_20240627_draft_wells,relinquish,pick_2024_2_mem,future_draft_pick,second_round,,,,,MEM,2024,39,,,,,
evt_20240706_sign_jaylen_wells,modify,player_jaylen_wells,full_roster,player_contract,Jaylen Wells,,,rookie_scale_signing,,,,,,,,
evt_20240706_sign_zach_edey,modify,player_zach_edey,full_roster,player_contract,Zach Edey,,,rookie_scale_signing,,,,,,,,
evt_20240706_trade_cam_spencer,acquire,player_cam_spencer,full_roster,draft_rights,Cam Spencer,,,draft_night_trade,,,,,,,,
evt_20240706_trade_cam_spencer,relinquish,pick_2030_2_mem_conditional,future_draft_pick,second_round,,,,,MEM,2030,,Conditional MEM 2030 second-round pick,,,,
evt_20240706_trade_cam_spencer,relinquish,player_ulrich_chomche,full_roster,draft_rights,Ulrich Chomche,,,,,,,,,,,
evt_20240708_sign_cam_two_way,modify,player_cam_spencer,two_way,two_way_contract,Cam Spencer,,,two_way_signing,,,,,,,,
