edge_id,asset_id,asset_key,asset_type,subtype,source_node_id,target_node_id,start_date,end_date,is_active_at_end,player_name,action_raw,direction_raw
asset_4e079e92d4b7ed7476a3b6ec_1,asset_4e079e92d4b7ed7476a3b6ec,player:gorgui_dieng_(c),player,,evt_6b28d153e4818233903fee8a,evt_cc96eff18e090c9d2e475922,2020-02-06,2021-03-26,false,Gorgui Dieng (C),relinquish,outgoing
asset_4e079e92d4b7ed7476a3b6ec_end,asset_4e079e92d4b7ed7476a3b6ec,player:gorgui_dieng_(c),player,,evt_cc96eff18e090c9d2e475922,state_end,2021-03-26,2026-03-08,true,Gorgui Dieng (C),relinquish,outgoing
asset_2bb5bc1e171dec512929ad02_0,asset_2bb5bc1e171dec512929ad02,player:jordan_bell_(c),player,,state_start,evt_ebc6badb4a4ca7cc94b1fc40,2016-07-01,2020-02-06,false,Jordan Bell (C),transform,outgoing
asset_2bb5bc1e171dec512929ad02_1,asset_2bb5bc1e171dec512929ad02,player:jordan_bell_(c),player,,evt_ebc6badb4a4ca7cc94b1fc40,evt_9c17dcab6917f064939c6f42,2020-02-06,2020-03-02,false,Jordan Bell (C),relinquish,outgoing
asset_2bb5bc1e171dec512929ad02_end,asset_2bb5bc1e171dec512929ad02,player:jordan_bell_(c),player,,evt_9c17dcab6917f064939c6f42,state_end,2020-03-02,2026-03-08,true,Jordan Bell (C),relinquish,outgoing
asset_7b2138441252af0ea340a733_0,asset_7b2138441252af0ea340a733,player:anthony_tolliver_(pf),player,,state_start,evt_0f99936cbb77ab85d1a6acee,2016-07-01,2020-03-02,false,Anthony Tolliver (PF),acquire,incoming
asset_7b2138441252af0ea340a733_1,asset_7b2138441252af0ea340a733,player:anthony_tolliver_(pf),player,,evt_0f99936cbb77ab85d1a6acee,evt_a1f29332a30341b8b0894736,2020-03-02,2020-06-23,false,Anthony Tolliver (PF),acquire,incoming
asset_7b2138441252af0ea340a733_end,asset_7b2138441252af0ea340a733,player:anthony_tolliver_(pf),player,,evt_a1f29332a30341b8b0894736,state_end,2020-06-23,2026-03-08,true,Anthony Tolliver (PF),acquire,incoming
asset_fb42cce0bef6a38128605c40_0,asset_fb42cce0bef6a38128605c40,player:jontay_porter_(pf),player,,state_start,evt_9c10075e2180af1a95d8f4b8,2016-07-01,2020-03-08,false,Jontay Porter (PF),acquire,incoming
asset_fb42cce0bef6a38128605c40_1,asset_fb42cce0bef6a38128605c40,player:jontay_porter_(pf),player,,evt_9c10075e2180af1a95d8f4b8,evt_367be1667fd80ad7afe787b3,2020-03-08,2020-11-22,false,Jontay Porter (PF),acquire,incoming
